time,type1,type2
0,1,0
1.25557,2,0
2.08297,3,0
2.29073,4,0
2.82477,5,0
3.29494,6,0
3.49796,7,0
3.59364,8,0
3.80555,9,0
3.81804,10,0
3.84077,11,0
3.91546,12,0
3.92903,13,0
3.96551,14,0
4.04066,14,1
4.16355,15,1
4.18302,16,1
4.22087,17,1
4.30677,18,1
4.34581,19,1
4.3738,20,1
4.40789,21,1
4.426,22,1
4.45645,23,1
4.49467,24,1
4.50027,25,1
4.54576,26,1
4.55965,27,1
4.57149,28,1
4.60028,29,1
4.60319,30,1
4.6039,31,1
4.66777,32,1
4.79096,33,1
4.8636,34,1
4.95777,35,1
4.95829,36,1
4.98338,37,1
4.98971,38,1
5.0005,39,1
5.0293,40,1
5.05127,41,1
5.0565,42,1
5.13666,43,1
5.14175,44,1
5.14251,45,1
5.14878,46,1
5.1604,47,1
5.16449,48,1
5.1718,49,1
5.19445,50,1
5.19662,51,1
5.22292,52,1
5.24734,53,1
5.25353,54,1
5.26618,55,1
5.28015,56,1
5.3064,57,1
5.31153,58,1
5.37675,59,1
5.37749,60,1
5.40346,61,1
5.41284,62,1
5.41899,63,1
5.4252,64,1
5.42722,65,1
5.46931,66,1
5.48767,67,1
5.52851,68,1
5.55521,69,1
5.57052,70,1
5.57375,71,1
5.58785,72,1
5.59744,73,1
5.60933,74,1
5.63651,75,1
5.67686,76,1
5.71223,77,1
5.72309,78,1
5.7259,79,1
5.7391,80,1
5.76081,81,1
5.76433,82,1
5.77624,82,2
5.7886,83,2
5.78903,84,2
5.81075,85,2
5.81205,86,2
5.82588,87,2
5.83082,88,2
5.8341,89,2
5.84699,90,2
5.86175,91,2
5.88522,92,2
5.88643,93,2
5.89131,94,2
5.89553,95,2
5.90796,96,2
5.91312,97,2
5.92759,98,2
5.93412,99,2
5.93729,100,2
5.93894,101,2
5.94953,101,3
5.95363,102,3
5.95396,103,3
5.95745,104,3
5.9641,105,3
5.96682,105,4
5.97023,106,4
5.99135,107,4
5.99779,108,4
6.02166,109,4
6.0324,110,4
6.03986,111,4
6.0409,112,4
6.0532,113,4
6.06233,114,4
6.06285,115,4
6.07253,116,4
6.07736,117,4
6.09479,118,4
6.09854,119,4
6.10838,120,4
6.10961,121,4
6.11937,122,4
6.12687,123,4
6.13755,124,4
6.14527,125,4
6.15543,126,4
6.17379,127,4
6.21124,128,4
6.21438,129,4
6.21782,130,4
6.24991,131,4
6.25088,132,4
6.26286,133,4
6.26548,134,4
6.27519,135,4
6.29262,136,4
6.30403,137,4
6.30627,138,4
6.32075,139,4
6.32564,140,4
6.33175,141,4
6.34536,142,4
6.35801,143,4
6.36891,144,4
6.40842,145,4
6.41335,146,4
6.41972,147,4
6.42529,148,4
6.43311,149,4
6.45396,150,4
6.46653,151,4
6.48459,152,4
6.48689,153,4
6.50093,154,4
6.51667,155,4
6.52593,156,4
6.53737,157,4
6.54583,158,4
6.55457,159,4
6.55572,160,4
6.56073,161,4
6.56611,162,4
6.57064,163,4
6.5737,164,4
6.5832,165,4
6.58957,166,4
6.59706,167,4
6.60037,168,4
6.60161,169,4
6.60411,170,4
6.60832,171,4
6.6134,172,4
6.62398,173,4
6.62517,174,4
6.62976,175,4
6.63238,176,4
6.6401,177,4
6.64023,178,4
6.64483,179,4
6.65272,180,4
6.65839,181,4
6.65994,182,4
6.66518,183,4
6.6708,184,4
6.67653,185,4
6.6829,186,4
6.68528,187,4
6.68541,188,4
6.68872,189,4
6.6903,190,4
6.69621,191,4
6.7069,192,4
6.70844,193,4
6.70904,194,4
6.71308,195,4
6.71486,196,4
6.71744,197,4
6.71983,198,4
6.72417,199,4
6.72809,200,4
6.72833,201,4
6.73442,202,4
6.7355,203,4
6.73867,204,4
6.74317,205,4
6.74327,206,4
6.74521,207,4
6.74691,208,4
6.74787,209,4
6.75116,210,4
6.7552,211,4
6.75834,212,4
6.75957,213,4
6.76174,214,4
6.78118,215,4
6.78236,216,4
6.78642,217,4
6.78847,218,4
6.79185,219,4
6.79732,220,4
6.80029,221,4
6.80361,222,4
6.80816,223,4
6.81473,224,4
6.81635,225,4
6.81796,226,4
6.8199,227,4
6.82675,228,4
6.83743,229,4
6.83835,230,4
6.84964,231,4
6.85498,232,4
6.85644,233,4
6.85981,234,4
6.86047,235,4
6.86077,236,4
6.86323,237,4
6.86419,238,4
6.88748,239,4
6.8889,240,4
6.89226,241,4
6.91269,242,4
6.91858,243,4
6.92715,244,4
6.92826,245,4
6.93272,246,4
6.93697,247,4
6.94167,248,4
6.95575,249,4
6.96939,250,4
6.97618,251,4
6.97781,252,4
6.98337,253,4
6.98588,254,4
6.98701,255,4
6.98707,256,4
6.99649,257,4
7.00434,258,4
7.00762,259,4
7.01062,260,4
7.01283,261,4
7.01452,262,4
7.01461,263,4
7.01667,264,4
7.01739,265,4
7.01857,266,4
7.02435,267,4
7.02677,268,4
7.02951,269,4
7.03152,270,4
7.03916,271,4
7.03981,272,4
7.04164,273,4
7.04706,274,4
7.05043,275,4
7.05112,276,4
7.05397,277,4
7.05404,278,4
7.05618,279,4
7.05691,280,4
7.05879,281,4
7.05896,282,4
7.06443,283,4
7.06455,284,4
7.06614,285,4
7.07664,286,4
7.07913,287,4
7.0834,288,4
7.08769,289,4
7.08994,290,4
7.09038,291,4
7.09111,292,4
7.09168,293,4
7.0929,294,4
7.09696,295,4
7.09961,296,4
7.101,297,4
7.10573,298,4
7.11163,299,4
7.1145,300,4
7.11635,301,4
7.118,302,4
7.11897,303,4
7.12369,304,4
7.12512,305,4
7.13615,306,4
7.13831,307,4
7.14017,308,4
7.14349,309,4
7.14556,310,4
7.14832,311,4
7.14844,312,4
7.14983,313,4
7.1503,314,4
7.15813,315,4
7.16441,316,4
7.16477,317,4
7.16895,318,4
7.17064,319,4
7.17298,320,4
7.17447,321,4
7.17486,322,4
7.17587,323,4
7.17734,324,4
7.17761,325,4
7.17852,326,4
7.18253,327,4
7.18255,328,4
7.18279,329,4
7.18946,330,4
7.18959,331,4
7.19207,332,4
7.19432,333,4
7.19612,334,4
7.19902,335,4
7.20514,336,4
7.20644,337,4
7.21063,338,4
7.21069,339,4
7.21071,340,4
7.21587,341,4
7.22057,342,4
7.22334,343,4
7.22603,344,4
7.2266,345,4
7.22881,346,4
7.23089,347,4
7.23375,348,4
7.23511,349,4
7.24189,350,4
7.24976,351,4
7.24985,352,4
7.25049,353,4
7.25409,354,4
7.25892,355,4
7.259,356,4
7.25976,357,4
7.26192,358,4
7.26506,359,4
7.26595,360,4
7.26724,361,4
7.27178,362,4
7.27674,363,4
7.27877,364,4
7.28383,365,4
7.29098,366,4
7.29314,367,4
7.29635,368,4
7.29884,369,4
7.30136,370,4
7.30382,371,4
7.30445,372,4
7.30621,373,4
7.31079,374,4
7.31183,375,4
7.3119,376,4
7.31233,377,4
7.31732,378,4
7.31796,379,4
7.31797,380,4
