"sim_id","seed","mutcount","wt_cellcount","mt_cellcount","tend"
1,118646940,229,115977,462,10.5957345675332
2,597570825,211,111112,9332,11.803859339594
3,321254512,261,114674,5644,12.2264824316336
4,8094889,231,116913,1550,10.5627847602658
5,287207967,214,111866,6911,12.8416629155885
6,783846029,243,114914,2702,11.994443673074
7,222473892,239,112078,464,11.6028352177089
8,463866272,233,111443,6390,12.6056485657573
9,125410443,258,118402,301,12.0873542978785
10,200314905,254,119174,1850,12.6547468432684
11,856289441,203,115727,298,11.2402866817572
12,89309584,243,117586,1522,10.951109779858
13,625306448,199,112986,2757,12.9204562219717
14,12941402,219,115514,3662,12.3893056376019
15,340554091,257,117128,1340,11.4577517744353
16,85407932,293,108493,9938,12.6841514155646
17,3805562,264,113053,2017,11.355889686441
18,990015921,261,118651,715,12.3312004260237
19,474505424,244,117867,876,11.6869381205585
20,689845673,251,115699,2493,12.1534858290601
21,835759505,256,118979,3148,11.9624643519998
22,219353512,253,116167,1343,14.7164135257364
23,583837083,271,116368,229,11.8139734691125
24,886873267,226,101509,14036,13.3959681836545
25,291131765,207,120518,666,11.891861240204
26,38243778,277,108267,9202,12.1361264153497
27,868629134,214,102421,17669,14.0886563945487
28,566653891,239,115541,1049,12.08603329633
29,112398515,248,118320,112,10.8348778564194
30,901420366,228,118004,818,10.664120770989
31,885961297,257,115228,944,11.7726370630506
32,559007185,219,109203,3618,13.3601295542058
33,692988291,264,117333,1525,12.0097900646033
34,628724332,205,117432,548,12.0458324836613
35,41380592,211,117124,779,11.4701322207336
36,443566779,232,114755,1980,12.0562934630271
37,728800079,233,115254,313,10.7783579696858
38,62419737,226,116857,1466,13.7308656876261
39,414564554,206,110371,3918,12.4288396452029
40,885076529,253,119470,1235,11.9347054039779
41,34323026,256,111580,9209,14.2857462931993
42,689113657,224,108462,10576,12.5241524066625
43,603869624,189,119798,743,11.6312804289918
44,568403217,249,114212,3540,12.1312846957164
45,287475669,211,115649,574,13.2894099202536
46,675049266,237,113599,7016,12.2504681353728
47,531811120,237,118619,1493,10.9944444563091
48,673916547,199,119165,1356,13.1622952300446
49,484732079,209,113166,7320,11.9025197161124
50,254976586,301,116754,3263,13.9569428058728
51,955207840,254,118923,551,11.3553157580168
52,823238802,191,114603,556,11.1575911497063
53,673097953,231,116077,657,11.8284241503418
54,257384273,235,118294,219,12.181937642439
55,3338051,222,112645,3819,11.8216962996519
56,511772360,229,109802,11108,14.0690254102709
57,523859837,236,117832,1616,11.073529673868
58,52651206,193,111270,288,11.5375638875385
59,428490341,226,118272,241,10.7433273350576
60,205108340,200,116062,2121,12.6020413377481
61,659231833,245,113247,5037,13.3662558661979
62,653361505,284,118606,114,11.6789318196977
63,747351682,207,109464,6229,12.6381323740175
64,943500959,230,115047,2982,12.3533767296885
65,276033448,273,117746,1058,11.7221823552038
66,554029420,234,115545,2919,12.8995332929686
67,762918798,242,112763,2809,12.1721071981526
68,940448413,218,116867,3380,12.0236342017847
69,231034947,198,113400,2508,12.1319733050713
70,485770552,252,111362,7722,12.7077868773454
71,148810318,252,113158,6805,12.1949863023829
72,677577493,216,108668,11051,12.7372574093288
73,677686888,203,108220,9968,12.5766607330293
74,88222645,236,117988,1254,13.0332466615953
75,927840763,256,115961,355,10.042429376542
76,587692761,215,112972,7490,12.0928142865335
77,228431248,219,106864,11116,13.8274155653788
78,694738396,243,110310,472,11.0406710593798
79,945857695,233,116206,1326,11.8861021922449
80,15158509,256,116957,761,10.9704578254458
81,603464893,287,113966,1212,10.7523959824739
82,475142638,182,110631,2938,12.1395801515171
83,570642736,218,114199,5648,12.6596843109168
84,190125735,210,100372,13582,13.8279607261385
85,145495167,244,118269,1578,11.5350860517805
86,253748182,211,100834,16041,13.2353571238265
87,984431674,226,111566,5527,12.2430575390557
88,620407124,234,113031,1704,11.5933568693896
89,662332089,227,118366,572,11.937123622689
90,394310704,208,102898,10596,12.1357284709737
91,370633430,210,117410,98,11.4323135176953
92,323979940,209,118207,506,10.7746725315164
93,720807982,258,115965,2294,10.5322137201399
94,814954379,269,117642,2410,12.0570155201296
95,760744612,231,113543,192,10.6179801144073
96,861732195,228,115215,693,10.7772169213717
97,768469258,246,115631,3362,12.4313656524142
98,464261028,258,98567,19612,13.1876472656241
99,587963478,227,120581,24,10.8176312455607
100,623916970,257,115385,3478,12.9610774382204
