"sim_id","seed","mutcount","wt_cellcount","mt_cellcount","tend"
1,80289135,335,31956,69091,10.7794222981291
2,187124814,344,65712,16308,10.1120059860121
3,327733114,434,14676,86651,10.545612850436
4,971860088,340,15153,95831,10.8792792069148
5,286622701,273,25753,63412,10.7242577354053
6,488744497,262,33177,49770,11.6731757128308
7,894666041,227,3839,112626,11.1665821559178
8,778630835,244,120,117730,10.7460912992199
9,169831875,303,12607,93461,10.9359833864768
10,177994020,374,14431,65494,10.4825180637152
11,611484860,341,76166,13342,10.9410597163992
12,847066415,309,12884,75577,11.580963150722
13,713801096,286,47318,61801,10.8554584063382
14,730566060,316,44433,41790,11.1912690532784
15,627141996,413,26554,57547,10.4797187558803
16,512382254,359,58697,29820,10.6696386927865
17,26551797,298,48047,41176,10.2534984283516
18,265641101,307,4383,113473,10.8496355171226
19,327026236,263,1524,114220,10.9524471329607
20,400687126,332,52754,29634,10.4618852902017
21,172302188,260,32460,76825,11.2756067345778
22,60734001,305,70146,24198,11.9813027782757
23,216040836,333,27688,79720,10.9999881727141
24,631311463,344,63687,38256,10.5614031537504
25,632791023,199,116075,6129,10.8082616107187
26,129588185,312,455,117139,11.2610771759471
27,192057491,319,56077,62475,10.8448911110143
28,447751803,218,119360,1873,10.7428382465043
29,514043741,373,77163,36657,10.5683664170493
30,495083502,308,6640,91718,10.7804542681291
31,743426233,342,49523,39669,10.8182510258162
32,970766436,251,11324,99175,10.8872883029766
33,726634920,269,2692,104418,11.2172615577681
34,351441486,403,13228,80172,10.7920337717999
35,529036905,426,14919,91112,10.6079103252759
36,603606131,320,18077,79825,10.9354630604435
37,891920369,324,52406,45301,10.835666002753
38,293505950,369,55618,40023,10.3804126620364
39,184654071,329,70617,31405,11.0229663817136
40,567014928,382,9648,93911,10.5561122434126
41,332017631,326,26011,71632,10.9626991972308
42,570461112,397,54977,24759,10.3144761660715
43,299803721,306,45267,31754,10.7861785210612
44,951093914,277,18301,92900,10.861452599755
45,954012742,338,52052,52266,10.7499843369966
46,681704729,326,33179,71340,10.3846740947895
47,124422556,298,10476,79771,10.9611948504024
48,542152674,325,47353,54134,10.5583510254818
49,473997009,200,118871,2068,10.2724027534281
50,488384197,311,16777,84231,10.7102332365864
51,718658870,364,25437,55391,11.1719836766504
52,737700817,302,8211,80961,10.595732761486
53,583959642,366,33889,51703,10.3914944522695
54,63079229,324,34753,60047,12.2161111044069
55,276584063,277,44517,46224,11.0844174885838
56,626462160,273,5823,96230,10.896631119386
57,930174426,311,15966,71313,10.8447221035046
58,67881010,296,20202,62493,10.45916452409
59,184668402,361,38645,53427,10.3940309156506
60,843620503,392,50265,59235,10.7975874160197
61,991379146,286,25712,59588,11.0960137061731
62,193960448,404,66165,24772,11.0836702243067
63,119648759,268,64143,49508,11.0993581876549
64,474482708,332,56879,40136,10.9059041095682
65,961362265,284,19023,89532,11.0408911886524
66,387396899,357,67942,33572,10.7378723796256
67,891573118,304,61124,33760,11.4438229376659
68,657501271,358,13688,74622,10.8884649517158
69,541380741,299,88544,9945,10.8390097670096
70,694562970,336,34705,45646,10.6167367454439
71,884527538,375,79117,27488,10.667876538722
72,336355939,357,84493,19481,10.4872437393625
73,341198728,362,12879,72868,11.435011444671
74,210075167,347,67104,47728,10.9262960846624
75,715125641,262,106525,11043,10.9660067673371
76,607873490,266,103129,12438,10.610804527675
77,434600011,291,30281,74230,11.4579333516426
78,785571242,328,14746,83032,10.6842647019335
79,743672761,290,24818,84757,11.3048683729999
80,617065734,354,21845,80748,10.5674087434804
81,749578706,234,111587,1066,10.1663797905171
82,428392678,335,37826,47730,11.0902088554995
83,214913349,385,14620,75757,10.6788237936444
84,274064042,315,67861,48866,10.9506292691933
85,622853668,278,73045,33451,10.7931559045647
86,875639569,375,9770,87566,11.0011646315517
87,294120570,309,29297,66553,10.814774286603
88,35454613,296,13466,100215,10.9661899357639
89,718344449,364,9572,97136,10.9827174197778
90,758080629,331,9318,82689,10.9768023885802
91,763588940,320,27978,65870,10.6565668407252
92,974695,328,69191,45377,11.0136443449605
93,457945882,237,120478,1003,10.9742502915833
94,326748257,343,66339,39776,10.5032513187563
95,644359512,366,12246,71791,11.0436743230551
96,908504612,307,14154,87302,10.8392058460648
97,258425381,300,47499,30911,11.1992795537596
98,779607153,269,596,111160,10.9555162750029
99,324209840,283,53871,30401,10.4734609045313
100,421150143,394,10933,86075,10.9684897780817
