"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
173786046,625.448638978454,432,30,4.13279605656862,9,11.1744481405931,0,1,18305,11558,264,749,1
862763043,679.582224605676,368,30,1.78944511618465,9,13.9257971601793,0,1,16583,8070,308,584,1
854471086,696.123552252041,289,30,3.83328759670258,9,11.1590552631171,0,1,15694,10005,310,604,1
436084165,988.707236749079,332,30,4.94655147194862,9,10.6943958885452,0,1,6135,20245,65,881,1
872687823,1108.73351171506,234,30,3.60916398372501,9,11.1456588820094,0,1,16635,8031,354,511,1
45287408,1151.99045134932,206,30,4.60370227508247,9,10.2060224949634,0,1,28475,125,679,206,1
150833659,1165.92624123484,150,30,4.49169484805316,9,9.88623551096754,0,1,28216,38,652,150,1
636513215,1235.06275144221,358,30,3.34704006277025,9,11.4441506097634,0,1,19566,5926,473,493,1
42778866,1240.3245543002,400,30,3.0087616648525,9,11.4211315751748,0,1,24749,2885,447,444,1
89799164,1252.75975350424,444,30,3.63392311055213,9,11.1479395372673,0,1,26196,3281,368,476,1
191382928,1268.49280644393,132,30,4.91764702647924,9,10.6483156076603,0,1,29329,14,707,132,1
703532033,1290.18293276574,270,30,3.93562844116241,9,11.2590029419691,0,1,18355,6482,417,415,1
90331980,1335.79002841015,252,30,4.06365813501179,9,10.40973903964,0,1,28655,23,550,252,1
749998331,1337.02767361039,163,30,4.95131491776556,9,10.171918503432,0,1,28499,43,652,163,1
906409581,1394.60998132094,73,30,3.19934715330601,9,10.73322515787,0,1,28856,12,713,73,1
515436405,1402.16011924459,181,30,4.08611821103841,9,9.31664817126065,0,1,29214,5,585,181,1
280527331,1406.05014135343,127,30,3.81524678692222,9,10.1243939335649,0,1,27248,82,620,127,1
591517755,1448.42259026846,203,30,1.24825811665505,9,11.5382817344658,0,1,28813,12,607,203,1
626137269,1480.96860196292,166,30,4.21271093841642,9,10.3788008128674,0,1,29346,5,609,166,1
764334288,1484.75183111522,177,30,3.4438687171787,9,12.0152154806355,0,1,11561,13410,257,511,1
290901877,1499.02535001914,160,30,2.86837381962687,9,9.60941292985439,0,1,28322,2,608,160,1
211822698,1503.6515553811,254,30,1.18524021841586,9,11.1137615301464,0,1,28728,11,491,254,1
262426961,1530.39047304928,64,30,2.27475803717971,9,10.8343368317101,0,1,27916,43,660,64,1
872819138,1575.82803630345,413,30,3.13632209785283,9,11.334635529416,0,1,24129,1555,361,429,1
984946552,1585.15393574252,134,30,1.77157720830292,9,10.8513597826333,0,1,29388,16,619,134,1
626779789,1605.08940560954,95,30,3.24381454382092,9,10.9938127891659,0,1,25583,613,650,95,1
114391777,1635.30272426851,271,30,1.2665633186698,9,10.0818136200887,0,1,27286,3,465,271,1
672357433,1637.16523295604,0,30,4.57962828781456,9,8.83263499009883,0,1,29225,0,719,0,1
276935780,1641.88336979214,50,30,1.52071829233319,9,9.81711809965062,0,1,27031,4,697,50,1
182205543,1645.35588855421,107,30,1.68981810566038,9,12.5259344516677,0,1,28075,884,611,108,1
427206347,1681.29176528049,278,30,3.52008131984621,9,11.2603893078063,0,1,22831,4163,373,378,1
97887106,1686.63244365807,40,30,2.99318639282137,9,9.3140391108344,0,1,29304,1,675,40,1
203692614,1691.42484314261,194,30,4.60503653157502,9,10.3710882334802,0,1,26861,1008,543,195,1
986494885,1711.83994578933,144,30,2.71213628724217,9,11.2371609741775,0,1,27265,65,542,144,1
603429397,1714.10997313475,71,30,3.04767995793372,9,10.5244962873054,0,1,26858,46,654,71,1
857956242,1721.71745649511,125,30,4.27109599672258,9,9.8222653583951,0,1,27325,26,611,125,1
640420939,1726.0182501932,105,30,1.17446104623377,9,11.9246077914037,0,1,26964,15,619,105,1
152189015,1743.0923670305,142,30,1.79114167485386,9,14.589078108471,0,1,18992,9047,390,354,1
794015625,1757.32040334141,207,30,1.13760312367231,9,11.055075444326,0,1,26519,10,537,207,1
625203746,1761.80759448925,140,30,1.45537998247892,9,12.3642705932837,0,1,29243,570,595,140,1
24029311,1773.06401463681,200,30,3.65496378019452,9,10.0764578451554,0,1,28349,120,503,200,1
676554309,1810.80700241633,133,30,3.14764043223113,9,10.8503790822525,0,1,28501,78,570,133,1
739334930,1814.78676433349,230,30,1.39901234861463,9,10.3918553253066,0,1,28767,3,460,230,1
984567376,1814.85178458187,114,30,4.28254490625113,9,9.71273276739822,0,1,28329,9,608,114,1
889496407,1832.64153614393,107,30,4.38374287821352,9,9.850757677736,0,1,30268,21,624,107,1
281331934,1834.32494395077,87,30,1.83516966085881,9,13.144896882361,0,1,27687,1182,618,90,1
969798900,1843.54875172858,112,30,3.10933216847479,9,9.85102407591027,0,1,26717,10,578,112,1
703276840,1846.61988508735,103,30,1.82207454554737,9,9.98433587652052,0,1,28755,16,581,103,1
703512305,1852.32124643648,259,30,4.21424639411271,9,9.69525061488626,0,1,29131,18,433,259,1
87723627,1853.0161898915,59,30,1.20405065454543,9,9.85209658349146,0,1,27889,1,699,59,1
595070194,1859.11107790793,209,30,4.98116379603744,9,10.5783950465844,0,1,26930,640,500,209,1
110543621,1869.55342261193,215,30,4.97578708454967,9,10.1124619610234,0,1,29351,263,494,215,1
287530564,1887.98914191793,201,30,3.54685847368091,9,10.5449487592926,0,1,27651,226,464,201,1
952926462,1893.67552658844,217,30,3.53628680855036,9,11.3654100365651,0,1,25343,786,492,218,1
159284062,1894.14677361603,204,30,2.5088420053944,9,9.59405201137236,0,1,29437,4,504,204,1
489600488,1897.88118700829,81,30,2.98539721500129,9,10.4761793727268,0,1,28459,105,589,81,1
110704376,1898.80962710852,95,30,1.74130415078253,9,10.259305493722,0,1,28674,1,619,95,1
