# Universe size: 200x200x1
# Seed: 1532526643
# N clones: 2
type_number	mutation_rate	birth_rate	death_rates	aggression	start_time	father
0	20	1	0.5	4294967295	0	0
1	20	3	0.5	4294967295	13	0
