# Universe size: 200x200x1
# Seed: 1532526122
# N clones: 2
type_number	mutation_rate	birth_rate	death_rates	aggression	start_time	father
0	20	1	0.3	4294967295	0	0
1	20	2	0.3	4294967295	8	0
