ID,birthrate,alpha,beta,aggression,mu,pushpower,N
1,1.000000,0.000000,0.000000,1.000000,20.000000,4294967295,7463
2,3.000000,0.000000,50339416695735729587411652708576244703719079303119117732709100001998551439926995966102548762233510607528766922242759302670331609037193794799910633785786138615797215290820695160843470025266990346517794900753774418481853235200.000000,1.000000,20.000000,4294967295,12326
