# Universe size: 200x200x1
# Seed: 1532525897
# N clones: 2
type_number	mutation_rate	birth_rate	death_rates	aggression	start_time	father
0	10	1	0.2	4294967295	0	0
1	10	2	0.2	4294967295	6	0
