ID,birthrate,alpha,beta,aggression,mu,pushpower,N
1,1.000000,259184796103874911463296156214867486715160363462718223318908930746634711836378003644485460101638694797200184754636820477924039787892666310351125870356231134117888.000000,6520095590462582914906520288960009341311844896269935134600406865045911897192808660211542880336570192398341132099225136770935273362443972049126655626532472112619580621286004963115568915542291198158055632610560408532656813320681321128393595122448261447680.000000,1.000000,25.000000,4294967295,7137
2,2.000000,945291678088606543463014284014931294429532125381177150556243536180596965072440430395618806915241548198844847917015199808054783238825122966399964981041532504859253648037985558490226735881561955972871384025716646905643008.000000,8903632819132107750159128353397472917546142667770059286932687947090728008050807573077970750914746005586705769202229706227864669026699538911513708277715480923237853049157206003594518684714048238046316339086870157834041406964300717266651857221163316936704.000000,1.000000,25.000000,4294967295,16958
