ID,birthrate,alpha,beta,aggression,mu,pushpower,N
1,1.000000,0.000000,0.000000,1.000000,10.000000,4294967295,52337
2,4.000000,26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000,0.000000,1.000000,10.000000,4294967295,32374
