ID,birthrate,alpha,beta,aggression,mu,pushpower,N
1,1.000000,1000660376192780815050957863277247935556895354826411312976168968061496974096555247834414636380822430034346865740792368648011593055424337153334149532723292876016401591147193933222361578302631238585413881366477623590069853665285695821710873783102487920640.000000,73552166520727503524988471209764593851128786150582421165482909594664942325309877362510819673264187399233314589679488006823372806027727130328763193559892460596180609300902320951541466433467675893073747104324644590115589455872.000000,1.000000,10.000000,10,91321
2,1.000000,0.000000,0.000000,1.000000,10.000000,10,28858
