"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
949677787,47.0956473572665,159,10,2.91418519755945,8,10.8642146562805,0,1,20460,7171,113,218,0.00747302013537243
440528208,49.152822909778,161,10,3.44026881561084,8,10.2456508989212,0,1,20050,7083,113,203,0.0125810757109429
754347270,75.8419409034342,168,10,4.32248925195892,8,9.93893961042203,0,1,24386,5313,144,197,0.00735855824530566
909367369,80.8640834981761,87,10,4.15365083894368,8,10.0444030811789,0,1,19439,7275,153,170,0.00984060372849564
461173536,81.4063879557372,128,10,4.23093805731388,8,9.98661502915303,0,1,18465,8460,132,191,0.0109928147130023
519000583,82.2131376362683,121,10,4.36937225590075,8,10.12801641366,0,1,22712,6222,129,182,0.0110270707197405
141900999,85.7496355677387,150,10,4.44242441771428,8,10.1213249136059,0,1,18913,7816,112,216,0.00570947456131933
476813436,88.6340792246414,135,10,2.98426281848252,8,10.664272890511,0,1,21731,5241,154,171,0.0120104444663226
335436397,89.4483090952534,143,10,4.38224126807902,8,10.1530073624604,0,1,21488,6481,124,206,0.00697367318819235
457015867,101.862652625975,183,10,4.46340182703702,8,9.84959233450867,0,1,23366,4922,117,213,0.0073853917105906
442968664,104.369535785113,174,10,4.97786517783982,8,9.73900753566545,0,1,20849,5266,123,200,0.0078827243866715
345716735,113.066352200821,132,10,3.61998855768357,8,10.8816448138466,0,1,23917,4056,176,151,0.00675009195830819
283951378,117.515956363381,135,10,4.88716561288307,8,9.97611345390616,0,1,20486,5715,147,165,0.031218509875719
180597664,119.503138034112,101,10,4.9534528397039,8,9.57312377923953,0,1,23915,4548,181,144,0.00715772662987785
94069486,128.903064354576,157,10,3.55678775645282,8,10.2686708804925,0,1,24375,4171,145,178,0.0111300603035876
738761795,132.314020421118,166,10,4.49503410289429,8,9.60464017804295,0,1,20418,5912,121,206,0.0079694455242724
675069178,138.690302472812,115,10,4.3256514900494,8,10.0673813048223,0,1,20523,7620,138,163,0.00683191834852114
284240812,139.032370331517,172,10,3.59499309130878,8,10.4142621098983,0,1,23378,5140,123,211,0.00692586293739657
659889058,143.377125093231,147,10,4.50978655385704,8,9.77737642836309,0,1,22773,4914,128,174,0.00974299380899296
864510736,145.068949124201,177,10,3.50934606041828,8,10.4912153343504,0,1,22298,3703,117,212,0.00523550462870566
419879174,148.865711297128,171,10,4.04494840523279,8,10.1526892889738,0,1,22865,4562,114,218,0.00561865903407196
493211984,149.81321704042,176,10,3.51967614519282,8,10.7444850123432,0,1,17595,7928,92,242,0.0138402239003756
84976771,151.614643092282,163,10,4.68685746973314,8,9.68962680471681,0,1,23486,5502,119,202,0.00852705904951342
930355660,152.062487155774,92,10,2.6762705144387,8,11.76890580015,0,1,22748,5647,160,144,0.00592884816659587
128461221,152.410629550566,128,10,3.87709477239307,8,10.2115033665377,0,1,23532,4050,160,145,0.00741033593081129
420570276,157.822685314881,112,10,4.76058566607105,8,9.57007076571764,0,1,20459,5772,170,167,0.00882001617988545
993412238,164.569134408613,103,10,2.96048742623204,8,11.1338727667864,0,1,21604,6678,156,207,0.00770745749897847
185073388,164.690619040673,144,10,3.83852819865509,8,10.4275505722766,0,1,17030,10596,116,220,0.00788971072105242
122902944,166.219734087141,145,10,2.69218254330899,8,11.2237031511405,0,1,18719,10407,114,218,0.00736331247670639
465706305,169.490412708212,160,10,2.33029246417186,8,11.6628198299866,0,1,23719,3797,146,186,0.0134936573759716
659438425,170.005882251174,169,10,4.57932631346967,8,9.83857072639652,0,1,23487,3371,149,186,0.0118619978346861
643696277,173.856262469892,147,10,4.09732640561844,8,9.9496068284068,0,1,20315,7348,95,218,0.0128741049397372
727450644,175.410946066658,139,10,3.41586619466747,8,10.4190300439018,0,1,22468,4714,131,170,0.00756982362797045
248704702,176.841737155005,129,10,4.49911785950852,8,10.2113383709162,0,1,16574,11198,111,222,0.00934932923947927
472211855,177.048016086032,138,10,2.16527360808662,8,11.833872977875,0,1,23207,5216,150,164,0.0196552431280429
570636626,181.052478580107,98,10,1.9000775570094,8,11.7972640855067,0,1,20066,5571,136,156,0.0167451331355546
53143339,181.598458143234,176,10,4.95894002395584,8,9.65674407992779,0,1,18714,7645,121,234,0.0101165104298722
603659766,183.809684184485,169,10,3.95931740153111,8,10.2233672754267,0,1,22084,5189,118,191,0.00913301491144009
939632762,189.831504234676,90,10,3.42300863764894,8,10.7601165561468,0,1,14443,11836,158,176,0.00506156759785164
496049608,191.279899623562,192,10,3.02226621631424,8,10.2628603419396,0,1,23735,3467,143,205,0.00990108325180717
776451085,191.298196541421,105,10,4.80720639463735,8,9.88894843216081,0,1,22372,4940,144,151,0.0314827874451881
966088756,194.586741583285,178,10,2.89774152523511,8,11.3189368081619,0,1,21541,5947,124,240,0.007945313720586
483163543,196.710447104367,131,10,3.70661584480352,8,10.2335559716462,0,1,18965,7352,100,192,0.00988957872515293
11637147,196.862896453344,107,10,3.42743531833139,8,10.9762149363312,0,1,22707,5899,167,148,0.00591034051255836
608664115,198.441427126495,157,10,3.88472941841535,8,10.0199560688775,0,1,22722,4734,126,229,0.0118557898648049
508228769,199.203413625369,182,10,3.79768613195396,8,10.2987475216617,0,1,24535,4372,102,211,0.00812931045937852
309014942,199.6096190067,184,10,3.25793558155931,8,10.6775132678443,0,1,21043,6552,108,242,0.00250314020667526
908504551,205.492092305276,116,10,2.38668527876319,8,11.6698727666522,0,1,19557,6042,123,159,0.0104979519051748
