"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
288958035,2.71830985915493,25.298439153717,1.22519856955486,4.55800641260016,11.8720736148784,0,1,20798,6899,333,270,0.0201370711878752
402990980,3.61643835616438,19.4355641986548,4.98962431427226,13.7009356197679,10.5996650760058,0,1,28362,0,571,0,0.0162645574978992
203704594,4.27272727272727,22.2280726470919,2.79571872341965,12.4258790859327,9.84053176878821,0,1,28210,0,520,0,0.00660747648352154
285916930,4.50746268656716,20.6181799231655,2.99867730628941,15.208767169474,14.0211722787099,0,1,27986,0,462,0,0.00621880139625557
588417639,4.65079365079365,19.7480126966316,2.77985295836052,20.7642890353848,10.587312541919,0,1,27847,0,570,0,0.00704797491575631
812789124,5.27631578947368,18.7360253209211,4.68548266655181,14.2619713907712,11.1811805770726,0,1,28981,0,528,0,0.0128144998468297
175719723,6.10144927536232,26.8397635627994,2.33405080088179,18.6057919856358,12.6918928098298,0,1,27403,0,680,0,0.00693243434336686
806189887,6.43076923076923,28.3121474356682,2.08928127434448,10.1194457634712,9.58837695611319,0,1,29035,0,744,0,0.00813227874894959
924656930,6.57142857142857,29.8198694983932,4.09594872697456,11.9586678115802,12.8448565068164,0,1,29087,48,619,54,0.00939729988767508
164085182,6.70422535211268,27.6760318062334,4.48639972376536,25.2979248682553,9.58686984183618,0,1,27653,0,841,0,0.0117466248595938
274835562,7,18.1384309264966,4.61508655589357,20.909910479163,9.95142761875047,0,1,29712,0,441,0,0.0132149529670431
709513637,7.05714285714286,32.2315737748449,2.44710686753439,11.9404875675997,10.5483192663631,0,1,28862,0,865,0,0.00716743211771828
598622735,7.203125,31.1837978113462,2.61068447893984,29.2465376665884,9.90696618772132,0,1,29598,0,757,0,0.0103141096328141
203889733,7.27631578947368,29.4681906255589,4.03910885627938,6.38066491140948,9.22326032509547,0,1,8934,13717,277,730,0.0132149529670431
451863640,8.56756756756757,27.4114509262388,2.10951783862285,24.7961134281356,9.04807372139618,0,1,27998,0,951,0,0.00880996864469539
33169786,8.78571428571429,12.7116839255758,2.41658290974052,23.2157819577012,9.42721211946768,0,1,27777,0,350,0,0.0103141096328141
73608764,8.92957746478873,35.5774288465672,2.72783173403561,27.8183693426046,9.84372514026563,0,1,27983,0,1038,0,0.00813227874894959
304137888,9.06410256410256,32.3213853952693,1.58734781849111,20.6814078706194,10.5945526269381,0,1,28509,0,935,0,0.00880996864469539
709117335,9.48214285714286,14.8222668350709,3.76312154181077,14.5963821200851,9.88788392698115,0,1,28747,0,338,0,0.00939729988767508
6994431,9.63793103448276,13.9902856585382,1.3892034729154,13.9448996188026,11.127542593306,0,1,29536,0,352,0,0.0105719623736345
192837529,9.82191780821918,39.3392710102526,2.84323368831718,22.0747908171607,9.40830450280937,0,1,26890,0,933,0,0.00587331242979693
521121767,9.91666666666667,32.9912817503589,4.96763475064966,15.8639587375068,14.6393816397104,0,1,28143,0,834,0,0.0117466248595938
16864586,10.6101694915254,12.8218520727384,1.79356419511595,21.3240225601808,9.05270344666641,0,1,28473,0,412,0,0.0108430383319328
441481297,10.741935483871,29.0713709974113,3.05643185290473,17.432244823711,10.2530118479297,0,1,28257,0,714,0,0.00604112135636255
747075418,10.9605263157895,37.9400238271665,2.51333848281534,13.0797981646809,10.7703657677354,0,1,29159,0,1085,0,0.00595603514007576
730956714,11.1964285714286,11.8072227471495,2.6399299351121,22.7524023147233,13.4533916982635,0,1,28873,0,331,0,0.00939729988767508
803117786,12.5301204819277,42.681961953916,2.25846968860409,26.3573219094052,9.44383220666279,0,1,28775,0,1154,0,0.00797883952727129
114502566,13.2727272727273,44.0947030600832,3.59258594953686,22.3570186073621,9.89834414483108,0,1,28844,0,1288,0,0.00741892096395401
777698772,13.6865671641791,34.7976273142327,1.72572638060114,12.3055312083606,12.2897464994163,0,1,29138,0,1008,0,0.00797883952727129
56816254,14.1694915254237,10.1513586628178,4.08974044375905,17.7849882803197,9.05883996877888,0,1,27047,0,261,0,0.0117466248595938
539590236,14.5125,40.9618071425454,4.09763755899896,12.506385872897,9.52195455860663,0,1,27707,0,1213,0,0.00783108323972923
703784155,15.2674418604651,49.9281022639454,4.01878699252696,25.8556770187786,11.437243760184,0,1,28514,0,1425,0,0.00797883952727129
813821716,15.8148148148148,9.85014079063302,2.73375349742401,22.8803770096883,9.04066839499913,0,1,28003,0,275,0,0.00939729988767508
40006055,15.9263157894737,50.1945790639121,2.72823811078365,6.77315437367222,10.2876893565816,0,1,1756,22201,4,1763,0.00729100853354101
343089094,16.2268041237113,47.6895219458147,3.6506974666412,4.3958528364687,7.64057675911201,0,1,2932,20306,13,1397,0.0114291485120373
805804840,16.2881355932203,6.26429622819553,1.59289969770359,13.0253365186634,10.5729244160041,0,1,27651,0,171,0,0.0108430383319328
178770742,16.7560975609756,46.9716088236068,2.74181546517556,15.7025625350883,10.1968632215168,0,1,28885,0,1230,0,0.00459650537984107
332466272,16.9718309859155,46.9246333068826,3.34600981666296,24.083016039053,10.2020158011909,0,1,27625,0,1301,0,0.00660747648352154
174735039,17.1166666666667,39.0620814597659,1.29265562798012,25.332919791208,10.8210964282603,0,1,27710,0,1163,0,0.0103141096328141
91160917,17.1829268292683,41.9652624997563,2.67823958151421,18.3776148439666,9.73667213405424,0,1,28321,0,985,0,0.00528598118681723
441731392,17.1860465116279,58.181121838289,3.42829397882655,23.6574708253665,10.3457704103044,0,1,28470,0,1526,0,0.00693243434336686
577334316,17.2727272727273,6.42671291570547,1.71029019320365,7.68644998357883,9.55475585059538,0,1,28671,26,190,34,0.0156621664794585
370953823,17.6129032258065,44.6039234704111,3.23778897656795,13.560256223387,12.3851228990057,0,1,28532,0,1125,0,0.00579285609514217
220014281,17.8529411764706,44.7149927459957,1.2797648176339,26.4522519266133,9.68548937558229,0,1,28659,0,1075,0,0.0105719623736345
399795517,17.9871794871795,54.3785121111309,2.06533479102171,25.9409559197347,11.330678363934,0,1,27647,0,1391,0,0.00755140169545319
