"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","weight"
92202536,17.3781471969828,10,2.86350450072415,20,26.1101102154029,0.8,1,1,25677,0.00725381894470617
306011548,24.576411454889,10,1.46484762303367,20,37.7163283417998,0.8,1,6627,19024,0.0172408709171304
886420522,25.5929677841395,10,1.23764600187579,20,40.9656554688125,0.8,1,22570,4306,0.00920510041356748
686884625,26.6645832519468,10,1.28610613628932,20,37.9258212896264,0.8,1,1064,24620,0.00685911290552205
697824347,31.9374388453426,10,3.07213848716869,20,24.7744184243947,0.8,1,1721,25179,0.00456867873655987
503017818,32.9241552663087,10,1.24005398118592,20,37.7497511674333,0.8,1,27051,263,0.0165226342113301
356404783,33.1360830515618,10,2.61018850200281,20,25.1442030020572,0.8,1,22,26387,0.00619156997197616
803177072,34.2928563989645,10,1.1026500765369,20,46.5493469805951,0.8,1,24972,1528,0.00811911677171222
281005506,35.3694783676548,10,1.14994542760765,20,50.1550509189037,0.8,1,2119,23864,0.00673549085933871
651651316,35.6089876295297,10,1.05922768820072,20,49.7905021076999,0.8,1,7914,19121,0.029065880687155
624030681,38.0657326213486,10,1.51335460116738,20,33.7384759257664,0.8,1,941,25599,0.0149987507684015
878877158,38.4317577011513,10,1.42368386858636,20,39.0080539993534,0.8,1,12343,14977,0.0178227801635216
743575851,40.4722126896961,10,1.02120527546727,20,59.6797369352367,0.8,1,25497,1376,0.0175265866685782
124001086,41.1096095821889,10,1.33157799105974,20,40.1161684164717,0.8,1,2325,24989,0.00439254074250851
737739538,42,10,1.13538553324377,20,45.2435554448439,0.8,1,27231,43,0.0103497166319349
943660660,43.4396132579469,10,1.0685706202781,20,44.7967009526836,0.8,1,25383,1557,0.00863054958804907
824370374,43.4971263418631,10,1.2567459906848,20,39.3621040528624,0.8,1,19729,6000,0.0251451098688204
48047122,43.8178046004133,10,1.4401418040235,20,38.2885371271515,0.8,1,25610,1465,0.00707126569236768
581146816,44.407206622349,10,1.06334732207627,20,43.1160992850561,0.8,1,27926,20,0.013424752815491
127987364,44.7772263544762,10,1.33698709564036,20,43.0225399446953,0.8,1,14957,12204,0.00116901603016105
362860686,44.8664685483491,10,1.04653486800947,20,55.3237049060393,0.8,1,27470,37,0.0138653929200356
464722392,45.8911756223351,10,1.25927751636957,20,41.602327621109,0.8,1,21031,5535,0.0130396538510184
40248868,46.3033476111609,10,1.09103360089893,20,50.4612760379888,0.8,1,26242,315,0.0109322022836808
358958794,46.3896540189728,10,1.54364225758549,20,31.4392959354151,0.8,1,534,26387,0.0313854870466787
992266791,47.3180726572839,10,1.16415110708476,20,42.1969100568795,0.8,1,0,27101,0.00936109800229552
917652263,48.0312398340913,10,2.20056593220391,20,28.3578152759373,0.8,1,537,25191,0.00563298521317937
239099634,48.3942145302514,10,1.16530864702603,20,42.9876370283005,0.8,1,8652,17732,0.0137509801826447
