time,type1,type2
8.41259,89,124
8.415,89,125
8.41784,89,126
8.41938,90,126
8.41955,90,127
8.42397,91,127
8.42519,91,126
8.42735,91,127
8.43193,90,127
8.43678,90,128
8.43994,90,129
8.44467,91,129
8.44738,92,129
8.4475,92,130
8.44782,92,131
8.44919,91,131
8.44936,91,132
8.44948,90,132
8.44977,90,133
8.45421,90,134
8.45668,91,134
8.46631,91,135
8.46911,90,135
8.47053,90,136
8.47131,90,137
8.48184,90,138
8.48239,90,139
8.49255,89,139
8.49522,89,140
8.49759,90,140
8.49771,91,140
8.50159,92,140
8.50237,92,139
8.50254,93,139
8.50545,93,140
8.52025,93,139
8.52209,94,139
8.52371,94,138
8.52923,94,139
8.53021,94,140
8.53123,93,140
8.53137,93,141
8.53469,94,141
8.53647,95,141
8.55481,96,141
8.55609,97,141
8.56623,97,142
8.57416,98,142
8.57437,98,143
8.57463,98,142
8.57497,98,143
8.57893,98,144
8.58461,98,145
8.58745,98,146
8.58755,98,147
8.58897,99,147
8.589,99,148
8.59035,99,149
8.59066,99,148
8.5935,100,148
8.59549,101,148
8.5984,102,148
8.60979,103,148
8.61404,103,149
8.61554,104,149
8.61925,104,150
8.62001,104,149
8.62161,104,150
8.62663,104,151
8.63326,104,152
8.63804,104,151
8.64336,104,152
8.64453,104,153
8.64802,104,154
8.65054,105,154
8.65478,105,155
8.65761,105,156
8.66274,105,157
8.66346,105,158
8.6635,104,158
8.66357,105,158
8.66524,105,159
8.66654,105,160
8.66947,106,160
8.67039,107,160
8.6712,108,160
8.6716,108,161
8.67289,109,161
8.67465,110,161
8.68175,110,162
8.68498,111,162
8.68569,111,163
8.6971,112,163
8.70144,112,162
8.70173,113,162
8.7035,113,163
8.70862,113,164
8.71835,114,164
8.72359,115,164
8.72469,116,164
8.72894,116,165
8.73142,116,164
8.74257,117,164
8.74354,118,164
8.74918,117,164
8.74999,117,165
8.75059,118,165
8.7543,119,165
8.75579,120,165
8.75585,120,166
8.76608,120,167
8.76634,120,168
8.76973,120,169
8.7734,120,170
8.77977,121,170
8.78212,121,171
8.7831,121,172
8.78319,121,171
8.78458,120,171
8.78802,119,171
8.78816,119,172
8.78818,119,173
8.78828,120,173
8.79128,121,173
8.79332,122,173
8.79871,122,174
8.81147,121,174
8.81312,121,175
8.81368,121,176
8.81595,121,177
8.82157,122,177
8.82409,121,177
8.82473,121,178
8.83056,121,179
8.83205,121,180
8.83765,122,180
8.84131,122,179
8.84537,123,179
8.84745,122,179
8.85477,122,180
8.8559,122,181
8.85872,123,181
8.85909,123,182
8.85914,123,181
8.86135,123,182
8.8677,122,182
8.8691,123,182
8.87043,123,183
8.87152,122,183
8.87252,122,184
8.87263,122,185
8.87351,123,185
8.87487,124,185
8.87593,124,184
8.88005,124,185
8.88737,124,186
8.88901,124,187
8.89065,125,187
8.89618,126,187
8.89623,126,188
8.89913,126,189
8.90596,126,190
8.91004,126,191
8.91007,126,192
8.916,127,192
8.91872,128,192
8.92278,129,192
8.92321,129,193
8.92886,128,193
8.93241,129,193
8.94003,129,194
8.94676,129,195
8.94843,128,195
8.9502,127,195
8.95512,128,195
8.96255,128,194
8.96261,129,194
8.9634,130,194
8.96505,130,195
8.96624,130,194
8.96893,131,194
8.96989,131,195
8.97011,131,196
8.97207,131,197
8.98236,132,197
8.98382,133,197
8.9843,133,198
8.99035,134,198
8.99069,134,199
8.99265,135,199
8.99437,135,200
8.99491,136,200
8.99605,136,201
8.99629,136,202
8.99749,137,202
8.99829,137,203
9.00022,137,204
9.00103,137,205
9.00166,138,205
9.00396,138,206
9.00632,138,207
9.00824,139,207
9.00974,139,208
9.01938,138,208
9.01939,138,209
9.02439,138,210
9.02521,138,211
9.02756,138,212
9.02959,137,212
9.02988,138,212
9.03114,138,213
9.03871,139,213
9.04139,139,214
9.04217,139,213
9.04467,139,214
9.04497,140,214
9.04777,139,214
9.06162,139,215
9.06194,139,216
9.064,139,217
9.06594,138,217
9.06963,138,218
9.07292,138,219
9.075,139,219
9.07655,140,219
9.07667,140,220
9.07715,141,220
9.07971,142,220
9.08225,142,219
9.08338,142,220
9.08527,142,221
9.09195,142,222
9.09681,143,222
9.09722,143,223
9.09951,142,223
9.10247,142,224
9.10492,143,224
9.1079,144,224
9.10948,144,225
9.10997,144,226
9.11628,144,227
9.11732,145,227
9.1184,146,227
9.12122,147,227
9.12467,148,227
9.12474,148,226
9.13404,149,226
9.13458,150,226
9.1349,151,226
9.13724,152,226
9.14136,153,226
9.14512,154,226
9.14579,154,227
9.14604,154,226
9.14615,154,227
9.1468,154,228
9.14864,155,228
9.14992,155,229
9.15413,156,229
9.15751,157,229
9.16021,157,230
9.16057,157,231
9.16072,157,232
9.1654,157,233
9.16886,157,234
9.16892,158,234
9.1706,158,235
9.17429,159,235
9.17462,160,235
9.17463,160,236
9.18111,159,236
9.18114,159,237
