"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
4594.42956198046,3705.25208319218,3978.04776240809,4365.39242222277,4467.14674037019,5323.50711467544,4665.91320107865,4906.02568277012,4533.01797922753,4619.53255210957
4127.19517348041,3636.55757551011,4396.029913456,4260.9045987912,4221.17910067791,3700.73249506094,3691.09793963802,4373.02572597052,4149.6272121722,4189.49197397489
2166.79994461879,3095.61657832491,3246.12353430981,3286.39483324813,3241.60916829898,3611.30765789901,3198.30236219154,3537.3646970591,3095.91004391278,3540.06497115519
3982.59425500515,3696.56719132765,2734.51951903803,3269.18812551373,2747.0154713798,2518.08141250437,2741.86979997227,3089.59010226276,3215.91029103736,2294.75793930427
4934.64659322225,3379.78727141221,2017.95663977202,1329.48674307042,1128.22958656472,2004.26170945812,1563.6614083618,1862.87439190086,1756.75183221763,2295.61669274293
4996.86581769012,2766.93548894802,2081.9317952325,1125.46834695606,562.763715959016,1589.46185861756,710.033097820095,1323.21124541775,1791.20657658462,1534.61819355825
3638.08795935447,5338.19285901137,3569.92590959532,1244.86103642133,1298.94495649354,746.554753517785,644.702256859707,844.984023517605,1225.74956659181,789.446641642106
3978.15535141603,5040.10495922456,327.47060936823,1035.78327849024,1633.09583307288,889.867405853254,1502.78009036585,1365.19961910337,669.218200589315,1343.27621880237
5072.03667179172,1699.65967181668,4017.71800901955,4581.83151152462,672.01860093304,1448.66628317221,3093.18735287729,507.542116479017,1274.69957244835,1440.82580487719
4987.44122772389,3542.01665721662,5010.16247241544,3976.28733871183,1219.58558535266,5253.66614851001,4781.49453623028,2345.75361024981,4426.14911633126,1478.63416706094
4504.28751302578,4567.52493151378,3715.78417026608,4561.61068045049,3645.60543668675,3402.03306862235,4977.4861124869,4480.78888143595,4175.11987851846,4747.08742283097
4722.46281086469,4098.08638269132,4557.51182115856,5341.24507956712,2400.94523052901,3972.19939076578,4773.18855692921,4686.88233263862,2190.65424017575,5187.94892033451
5012.5915452987,4212.81319310505,1779.36533629269,5149.27596852218,3876.29565435868,4274.80876765265,4464.48496469638,3131.54786008453,4926.84259947484,3568.0919270669
4270.91407078157,3328.34523449717,4650.44212951844,4378.20020099584,3965.86774867746,5409.62373922623,3440.23211426206,4283.77286979597,4715.30720102095,4681.4604558834
4617.04234331893,4123.47777973885,4406.05798872416,5338.24118975529,4413.41307833291,4722.81377994094,4289.1823230075,4810.65307416779,4492.70898234016,4521.73473348448
4088.64830964953,4150.31733726471,4502.59325278222,5042.96093579952,4902.74331369693,4701.73127688089,4289.9634031073,4014.37616573235,3549.39656843244,5363.88581161083
5166.21553944471,3332.16236099023,4416.52193473552,3347.55881203004,4497.95075562194,4299.42054235219,3999.18416680202,4748.6620220858,3775.54088840261,3178.16015958919
2498.41289622032,4607.49085728881,4119.07793079956,5261.2110773091,4702.40279006382,4000.65969560021,4195.26554582663,4977.98714341449,5378.52647106993,4127.34369782794
5177.80986518431,4102.06923393548,4267.16369500866,3776.49294981468,3664.02783832219,5053.74059484655,3773.83465456557,4010.08815364451,3871.97572306439,3854.15840359475
4655.94039910306,4202.07020407799,4631.87704931813,5393.15121241747,2994.11556223203,4353.71967402588,4598.74667708496,4539.74195301892,4491.9185210776,4537.35837244536
