"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2.5424004405286,3.11838099019347,3.83869769583384,3.10109658024383,3.18257757171762,2.85809377033015,4.05053082940989,3.56175518529839,3.78306753838733,3.86027201114118
2.39954162289384,5.95046216692452,5.14075869886926,5.49788141014337,4.15695802240051,4.88414782741063,4.13705209055917,4.84414079068724,4.37970318629014,5.33662814893449
4.15159005683365,5.91433850908113,6.3711851330816,5.19792266198719,6.02248287668799,4.30216224705671,5.33435094458548,3.63979395021202,5.38772679337028,5.89904229515266
3.29373648004815,5.10083326526167,4.43695841765505,4.42664658629984,6.02295608484737,6.4434385230248,5.34932706048153,6.09710587082101,6.76406682403419,8.06108553483958
2.13649245259608,2.98536429937788,6.8602696739997,7.7940875027164,8.4539872249726,6.79403414769163,7.30292407190435,5.48239910987881,7.42171139293357,9.73932749218343
2.48268000354456,3.72139758692887,6.35283401325739,6.92436278656744,8.311082961925,9.24118498895028,7.88201116467111,9.2705555389092,11.1423022755623,11.6833899190261
2.64321773601798,1.9172897537931,2.77888466835168,5.27906241675546,8.98234935860324,9.50804922158063,9.96951352875355,9.54680574852133,6.7407566340879,9.139321637846
2.95802298841642,2.20837043993982,8.81555443520145,6.39827320454511,4.69468848806819,8.99012791900093,10.4869967102121,9.55776647548997,9.65569779974498,11.357178346755
2.29575695577733,3.06140490624811,3.20151526624503,2.37831873389586,6.98506979206364,7.49857986554788,12.922464935143,9.18252688534044,4.78605265328329,10.8740470846875
2.29120055865915,3.08830050351322,2.2849726475387,4.14196813121492,4.71388374909692,2.31170932428798,3.49858542842675,7.27327299088932,2.99001672236126,6.41601122193532
3.5699019594381,2.37968485308454,2.75806091303292,2.77706679790026,2.85938804641832,2.61789992169296,1.9265772758963,2.39908315820857,2.82161301386282,2.57445139787101
3.33612050142077,2.48384782142546,2.3201939574096,2.21,5.90349896247979,2.79365352182406,2.42140455108187,2.73366054951964,4.2881464527229,2.20145406493072
2.2119222409479,3.21739024676833,3.99316916746586,2.55111740223769,2.56803426768414,2.83971829588782,3.28688302195256,3.00354790206516,2.93382003538049,2.75065446757676
2.45766149011616,3.21435841187631,2.7458878345628,2.94750742153434,2.6928237966863,2.11459215925909,3.73638863075029,3.01831078585357,2.47380274072126,2.59453271322603
2.86029718735659,2.88861558536265,2.47513635988,1.98328011133072,2.28258625247766,2.47495454503714,2.20581050863396,2.79164825864578,2.75552172918306,2.9482876386133
4.13239639918534,2.60319035032016,2.93081899816417,2.79967855297711,2.51829307269825,2.83282544467533,2.96121596645702,2.34510127713069,3.05548686791483,2.02304226352293
2.19205383145579,3.20129661231196,2.82747236944943,2.64136328436662,2.47594426431614,3.563453381202,2.74060212362174,2.87659520961848,3.33794847174129,2.69312086620709
4.48878602742434,2.82315426429375,2.40630422016835,2.16797140202541,3.09502827127637,2.72906577421652,2.98978260079224,2.12181526057289,2.75579389650242,3.02859703493218
2.74366543149853,2.65518360947035,2.84518892167111,3.70727662847001,2.72657294052442,2.37878120053106,3.62360317915745,3.55825800076386,2.62200305110425,3.02097666326637
2.34727501584284,2.97541593731028,3.45256426442724,3.34783512138815,3.15115851711716,3.13384747554823,2.46789383888367,3.2726594689946,2.96373075700206,2.35380542951196
