id,fixed
5,1
17,1
23,1
26,1
32,1
33,1
46,1
55,1
58,1
62,1
68,1
76,1
81,1
85,1
100,1
3,0
4,0
8,0
16,0
19,0
20,0
21,0
24,0
40,0
44,0
56,0
69,0
72,0
73,0
82,0
90,0
92,0
93,0
97,0
