"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
386758700,1.14754098360656,10.2978211750792,3.56442918308707,8.53769040222889,9.44144465670096,0,1,29407,42,275,48,0.00303342992275039
113533565,1.24590163934426,9.7209778621138,2.66904215019452,7.84504612761208,10.6079491707153,0,1,17492,5700,337,32,0.00174222371561737
177431812,1.25827814569536,10.1845562549943,3.7824817245601,7.19786392692862,9.20305867614745,0,1,25861,3737,190,82,0.0044509145677251
400456846,1.29838709677419,10.7139053693594,4.44250110599755,9.77409855419783,11.9168498391143,0,1,21474,5346,177,148,0.00680982743165155
731893214,1.31531531531532,8.67451802288733,3.87502711344407,6.92205508101956,9.72466996092794,0,1,19432,3612,230,29,0.00469689667240986
77387944,1.37984496124031,10.2937038639521,2.3010009522784,8.0284023324315,12.5709256305953,0,1,12364,11310,271,16,0.00382572965826903
198029275,1.3921568627451,9.80058321115541,3.14604730035355,4.05987772211011,7.29125764822268,0,1,2037,26144,12,359,0.00145786243288693
38310486,1.41592920353982,9.47317930473552,4.23041515214118,27.7593457936678,10.137544655229,0,1,28046,0,270,0,0.405451346443488
245622990,1.42657342657343,10.1241876747048,3.55115588872362,3.60902106900669,6.56952575265479,0,1,930,25645,0,354,0.00173025845395508
322699774,1.44632768361582,9.42101023448944,3.45199312885954,5.58424468064532,8.39444983232471,0,1,2482,20421,13,400,0.00171959045396098
434328489,1.45283018867925,9.02063371870514,4.68656982375306,8.14835924563795,10.0549784424838,0,1,24369,2725,233,12,0.00057144028574162
125756951,1.48538011695906,9.89985441569103,3.4067347014435,5.72188716587578,8.97471807406106,0,1,1144,23923,7,422,0.000780837244307443
668942241,1.48717948717949,10.3189903746039,2.8367402850882,8.31578188761382,11.3109404153811,0,1,21415,6055,174,258,0.0111075657038208
472384669,1.48795180722892,10.5749084926273,4.72247730356117,5.7969535318809,8.06823145942425,0,1,1304,23535,0,430,0.00607842140433499
379987244,1.49166666666667,10.8641092052807,4.08411009747693,20.9344172669241,9.18241319267748,0,1,27445,0,350,0,0.0158065339167406
148646586,1.496,9.08465283467023,3.85497987987209,6.39926805251072,8.53203450907126,0,1,14163,9762,47,317,0.00312095165627325
533145180,1.52083333333333,9.19300754485774,4.6653171040624,2.34396029353837,4.93605836805753,0,1,113,28144,0,336,0.0206735385372866
782659630,1.52205882352941,9.44311274175123,3.87394431939402,3.8175189006621,6.56977510722754,0,1,754,25495,0,292,0.00447709765050066
759414562,1.52432432432432,11.5146205182664,4.36753180226937,2.65762028291617,5.31188592076545,0,1,460,26782,0,555,0.00421569669548415
850206216,1.52631578947368,10.261140588761,3.24155731028435,12.4557471499219,12.9869535748995,0,1,26787,1,299,62,0.000708737686223354
206391911,1.52713178294574,10.3186511345219,2.21379376006535,6.87565791140164,11.1740557357302,0,1,25705,2102,188,176,0.00737453163323526
357047718,1.528,10.5031410508328,3.36835386318886,6.05660144834033,8.52709600898498,0,1,14163,11956,15,364,0.000341365436354626
446034726,1.52941176470588,10.0096157258266,3.49800782644347,4.46668162327563,7.43640821490231,0,1,2742,24160,1,337,0.0044682376596842
869933284,1.52991452991453,10.5583725086576,1.29909627974362,7.27368420250031,13.2440393976085,0,1,26301,1214,206,126,0.0461655995099927
486267671,1.53472222222222,10.5296195687634,3.9563136914794,3.20236266423021,6.00844721330707,0,1,145,28125,0,362,0.0048291592573497
370535567,1.53488372093023,9.20534045530552,4.97299176022407,9.49317739328595,11.2102784674633,0,1,20059,8706,54,364,0.00538605799484395
784645473,1.54166666666667,10.8285271061259,3.00307542672628,12.5339417993997,10.6615388664716,0,1,28806,0,304,0,0.000756997347131046
2334896,1.55405405405405,10.0314226150789,1.67982497739622,11.3926760136425,10.7190953974812,0,1,28127,0,363,0,0.0025770009619329
790133358,1.55555555555556,10.1164456615544,2.45512879357788,26.5505601143558,9.85008422837535,0,1,29158,0,326,0,0.0166317523038531
497631178,1.56716417910448,10.8182820459313,1.9923038561633,4.36573579771064,9.14955241794499,0,1,23320,4810,303,0,0.00140867687183093
38710675,1.5702479338843,10.9559458828239,4.96538793787587,7.82706011003585,9.82523622128009,0,1,20970,4933,309,29,0.0015999107921568
249363028,1.584,10.9661220086541,1.81726843074573,2.21548374717983,9.35998357396003,0,1,1115,26843,0,328,0.00304699678696943
