ID,birthrate,alpha,beta,aggression,mu,pushpower,N
1,1.000000,8911015057496369711565073285457749996180531167205255206128071223545670667594331917057223194034016008717116554721038308618191560036022191516110987873491870145474024928957731638535566214149231278211516186863124154818222105318100966899961788600861574823936.000000,1144672609524715359681460563816145014156857756721074824766199929358609219852262202822077250616473194929103109128245779649668554469944562904860126454099661526822869408720446684625123548969232718872313325966370625699683592813839827274371367436288.000000,1.000000,10.000000,120,15507
2,3.000000,0.000000,123971929464044954925421770176378864854661350160802049261471614107925237691862457189498969458107602543182938850439055143644789164977379998864149015777888752932463578614232207441147164847552024831858800852816460257504765411328.000000,1.000000,10.000000,120,7697
