ID,birthrate,alpha,beta,aggression,mu,pushpower,N
1,1.000000,0.000000,0.000000,1.000000,10.000000,160,7877
2,3.000000,0.000000,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,1.000000,10.000000,160,10781
