"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","weight"
893339712,71.7495644586084,30,3.10961479202067,4.04274054835599,6.93617324495559,0,1,2469,22782,0.0174498249033787
171204837,108.894444302728,30,2.36821788353558,4.64882488629595,8.69620492596624,0,1,4617,20381,0.012653889940505
708306667,146.263460918987,30,3.58687279516452,5.73766914368399,9.02343030219487,0,1,13480,15375,0.0156469646102732
46728275,207.045888633414,30,2.50676076749814,7.93133849274063,11.2918721842906,0,1,21274,6357,0.00473444861719575
330503981,223.573254214363,30,3.31738838713334,4.32011933600728,7.10365916164273,0,1,1786,24397,0.0174498249033787
743942764,238.539304937362,30,3.92432020419937,3.6894824285551,6.12621035671342,0,1,821,24062,0.0221572195284762
396163464,252.370759003495,30,3.74005354581245,7.36930700747828,9.92586534578748,0,1,14135,11879,0.0112206432227539
928799320,270.756348032692,30,1.15578184959898,6.70683673854991,13.0741433629808,0,1,28497,612,0.0131844101709299
518010369,270.776660737221,30,1.69383092600487,12.0825959168266,9.75711575853326,0,1,28804,0,0.013515371286901
577992289,271.149405310061,30,4.27653695495787,7.03161248536832,9.37325990322829,0,1,1104,24400,0.0103105769885596
367938974,275.713619540276,30,1.78819142289824,9.17853124151167,12.4738463065351,0,1,27082,599,0.00782959440068747
122634937,276.007246281687,30,2.18583713082652,7.96483340274912,10.9115014104357,0,1,27014,1623,0.0104333219527092
874804016,277.938842193746,30,2.73217428917361,12.7149579375147,12.1328542081256,0,1,28139,0,0.0055840551498706
291947679,278.368460857188,30,2.11192481947621,8.01483750656744,10.6910123642871,0,1,28832,63,0.00616676914822079
409799223,278.860180018589,30,2.04856067663447,6.08932283663646,11.3548752738778,0,1,11366,15565,0.0075751177875132
396149037,281.709069786544,30,3.40618092229039,4.15402725353422,7.35825057645303,0,1,1649,24436,0.0162103403740942
630621880,281.787153717127,30,4.84137745731182,6.53128039265688,8.63421602168941,0,1,2049,23462,0.015316581066982
909853712,281.811994066967,30,1.91764218709854,7.83710018783164,12.5780222467238,0,1,18378,6571,0.0119308105153333
627397577,282.895740512295,30,2.71384774923284,6.81819270178602,9.784998328018,0,1,27106,335,0.00645606629617602
896910881,283.038866589025,30,4.36335825658322,7.16574581318478,9.04680080280482,0,1,19690,7202,0.0153824915449266
336074672,283.554227617929,30,3.20216145071996,12.1782730425761,11.6379463096066,0,1,27461,0,0.00685215468786034
170702698,283.897868959948,30,1.67143739636393,11.0089922955957,10.5340073958547,0,1,28582,0,0.00792505529400159
874657734,283.920763594352,30,4.71753273368566,11.4632034448912,9.87123088971946,0,1,28002,0,0.0178452294032763
